이름,연도,WAR,득점,안타,2루타,3루타,홈런,타점,도루,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wRC+,수상여부
심정수,2007,5.29,64,110,17,0,31,101,,83,3,1,113,10,0,2,0.258,0.381,0.515,0.896,153.3,1
이종욱,2007,4.91,84,147,20,12,1,46,47.0,48,4,0,74,6,6,4,0.316,0.382,0.417,0.799,136.7,1
이택근,2007,3.83,74,137,15,1,11,56,6.0,39,11,5,41,10,5,2,0.313,0.382,0.427,0.809,128.2,0
이용규,2007,3.14,61,123,17,8,0,27,17.0,37,7,0,40,4,5,3,0.28,0.344,0.355,0.699,99.8,0
박한이,2007,3.09,68,128,12,1,2,27,10.0,67,4,5,47,7,4,5,0.267,0.359,0.309,0.668,95.4,0
발데스,2007,3.06,50,123,15,0,13,72,4.0,70,2,4,49,14,0,5,0.283,0.381,0.407,0.788,129.9,0
박재홍,2007,2.93,53,97,19,1,17,54,10.0,41,4,6,52,5,1,7,0.28,0.356,0.487,0.843,130.7,0
박용택,2007,2.89,69,133,24,4,14,66,20.0,43,1,6,83,7,4,5,0.278,0.335,0.432,0.767,112.6,0
이대형,2007,2.89,68,139,13,1,1,31,53.0,38,5,1,54,3,13,2,0.308,0.367,0.348,0.715,110.1,1
정수근,2007,2.74,45,100,25,1,4,36,,42,1,0,38,6,9,2,0.293,0.37,0.408,0.778,132.3,0
송지만,2007,2.56,54,116,25,0,15,64,10.0,44,6,5,68,12,10,5,0.281,0.355,0.45,0.805,123.1,0
전준호,2007,1.9,52,110,8,1,1,13,11.0,40,9,1,45,6,8,2,0.296,0.377,0.332,0.709,107.3,0
고동진,2007,1.52,68,98,8,5,1,37,10.0,50,16,2,67,6,11,2,0.249,0.355,0.302,0.657,84.6,0
김주찬,2007,0.15,49,101,17,1,5,30,22.0,13,8,3,69,4,7,1,0.261,0.298,0.349,0.647,68.9,0
김현수,2008,7.2,83,168,34,5,9,89,13.0,80,5,1,40,12,0,2,0.357,0.454,0.509,0.963,191.3,1
박한이,2008,5.27,57,117,17,2,4,41,,63,1,1,37,6,5,3,0.316,0.414,0.405,0.819,147.1,0
이용규,2008,5.24,62,130,24,6,0,38,28.0,47,3,1,37,4,6,0,0.312,0.385,0.398,0.783,133.4,0
클락,2008,4.82,96,116,25,3,22,79,25.0,63,5,4,78,8,1,5,0.246,0.338,0.451,0.789,112.2,0
박재홍,2008,4.8,66,126,26,2,19,72,5.0,69,3,4,66,14,0,3,0.318,0.42,0.538,0.958,178.2,0
최형우,2008,4.08,68,106,24,0,19,71,3.0,48,6,2,76,9,0,2,0.276,0.364,0.487,0.851,133.9,0
이택근,2008,3.97,59,118,19,1,12,58,18.0,48,4,4,44,10,1,3,0.317,0.398,0.47,0.868,147.7,0
가르시아,2008,3.8,68,130,25,2,30,111,,48,3,6,100,10,0,2,0.283,0.353,0.541,0.894,140.7,1
김원섭,2008,3.67,55,105,14,4,0,30,21.0,51,3,1,50,3,4,2,0.305,0.398,0.369,0.767,131.3,0
이종욱,2008,3.65,98,138,14,5,0,28,47.0,52,4,2,53,4,6,2,0.301,0.376,0.354,0.73,114.6,1
전준호,2008,2.39,44,109,16,5,1,24,16.0,35,1,2,41,5,1,2,0.31,0.372,0.392,0.764,122.9,0
이대형,2008,2.17,71,138,5,2,0,33,63.0,39,2,1,80,3,9,1,0.264,0.317,0.281,0.598,67.5,0
김주찬,2008,2.1,75,129,16,7,1,42,32.0,24,8,0,61,6,9,5,0.313,0.359,0.393,0.752,112.0,0
송지만,2008,1.19,48,116,18,0,13,62,4.0,28,5,1,82,11,0,4,0.28,0.33,0.418,0.748,103.3,0
추승우,2008,0.92,53,91,13,3,0,20,19.0,30,10,4,75,3,7,1,0.245,0.318,0.296,0.614,65.8,0
김현수,2009,7.37,97,172,31,6,23,104,6.0,80,4,5,59,7,0,6,0.357,0.448,0.589,1.037,176.3,1
박용택,2009,5.5,91,168,31,5,18,74,22.0,36,6,2,63,15,3,9,0.372,0.417,0.582,0.999,161.9,1
강동우,2009,5.0,88,153,30,2,10,48,27.0,69,1,0,58,6,4,5,0.302,0.384,0.429,0.813,118.9,0
이택근,2009,4.45,84,142,26,0,15,66,43.0,64,13,5,59,13,1,4,0.311,0.408,0.467,0.875,126.9,1
강봉규,2009,4.41,89,139,24,2,20,78,20.0,69,4,2,61,15,6,1,0.31,0.405,0.506,0.911,137.9,0
박재상,2009,3.96,84,152,31,4,15,81,33.0,68,6,1,107,7,20,5,0.295,0.38,0.458,0.838,119.8,0
클락,2009,3.48,85,141,24,4,24,90,23.0,65,3,2,85,14,0,2,0.29,0.376,0.504,0.88,124.4,0
김원섭,2009,3.43,74,107,14,9,8,43,20.0,56,3,1,55,8,5,3,0.301,0.401,0.458,0.859,127.7,0
최형우,2009,3.02,70,118,24,0,23,83,1.0,53,9,4,60,12,1,3,0.284,0.375,0.508,0.883,118.3,0
송지만,2009,2.76,69,108,15,3,22,67,,52,8,2,122,10,1,4,0.289,0.384,0.521,0.905,125.5,0
가르시아,2009,2.58,72,124,29,1,29,84,4.0,62,5,3,124,11,0,5,0.266,0.354,0.518,0.872,114.1,0
김주찬,2009,2.37,77,135,30,5,7,51,,28,6,0,56,7,4,6,0.31,0.356,0.451,0.807,107.2,0
나지완,2009,2.32,58,101,12,0,23,73,4.0,58,8,3,90,9,3,4,0.263,0.368,0.474,0.842,107.2,0
이대형,2009,1.8,92,146,10,2,2,41,64.0,50,0,1,77,8,22,4,0.28,0.341,0.319,0.66,74.8,0
이종범,2009,1.58,63,105,21,1,6,40,11.0,41,5,1,50,9,12,6,0.273,0.346,0.379,0.725,85.8,0
